Country Name,Country Code,average_value_Population ages 0-14 (% of total population),"average_value_School enrollment, secondary (% gross)","average_value_School enrollment, secondary, female (% gross)","average_value_School enrollment, tertiary (% gross)","average_value_School enrollment, tertiary, female (% gross)",average_value_GDP per capita (current US$),average_value_GDP growth (annual %),"average_value_GDP per capita, PPP (current international $)","average_value_GNI per capita, Atlas method (current US$)",average_value_Gross domestic savings (% of GDP),average_value_Rural population (% of total population),average_value_Rural population growth (annual %),"average_value_Agriculture, forestry, and fishing, value added (% of GDP)",average_value_Forest area (% of land area),average_value_Agricultural land (% of land area),average_value_People using at least basic drinking water services (% of population),average_value_People using at least basic sanitation services (% of population),average_value_People practicing open defecation (% of population),average_value_Total natural resources rents (% of GDP),average_value_Adjusted savings: consumption of fixed capital (% of GNI),average_value_Population growth (annual %),average_value_Population ages 15-64 (% of total population),average_value_Population ages 65 and above (% of total population),average_value_Age dependency ratio (% of working-age population),average_value_Mobile cellular subscriptions (per 100 people),average_value_Fixed broadband subscriptions (per 100 people),average_value_Individuals using the Internet (% of population),average_value_Fixed telephone subscriptions (per 100 people)
Caribbean small states,CSS,-0.49987001321257146,0.22099792586531236,0.22931611446608857,-0.10707048492526167,-0.0807852527728566,0.35303119959404683,-0.4452528791880521,0.29533798175883746,0.4542839548789158,-0.0011610164429851956,0.35358808870785025,0.04850742959573415,-0.3892108229556654,2.5684404697016427,-1.7202173120825268,0.46055281997144154,0.4867903736173202,-0.5166729990631561,-0.16436445823424067,-0.08899149956015054,-0.6311188333309447,0.657879456138556,0.20316679799014614,-0.6772584283636387,0.4168474453291133,0.34383042330583163,-0.03502146831309645,0.4440073642306938
Hungary,HUN,-1.359173185272801,0.5738885423849274,0.5276866308455551,1.1306538607545937,1.1847120257207302,0.6635952387723805,-1.893589961379122,1.0013857227274119,-0.057599375675599127,0.5689459760138434,-0.4386261530375302,-1.4135870089568374,-0.7168171138435929,-0.4165964482629477,1.2461100074125804,0.7861448372234461,0.8224611425051133,-0.9456557672419434,-0.7617641378719417,1.4020980774016478,-1.3480651248785376,0.8916274154550955,1.4958692454095202,-0.869904017096388,0.4867789615103285,0.8019020696420465,0.8168422676458011,0.88939227062104
Philippines,PHL,0.5101951773513094,0.22099792586531236,0.22931611446608857,-0.46449462893757215,-0.4707700481333097,-0.5309099193337923,0.9487567848427036,-0.4030006103389225,-0.38373192125248773,-0.32537127419112855,0.5295614739332444,0.4500505363568523,0.3661837094495641,-0.36040724375066,0.293919856069762,0.2076100876237146,-0.16145237709736485,0.5918688142006631,-0.3706475894043044,-0.7880113347994262,0.35641334170231853,-0.18661523019961934,-0.6904462750411938,0.07101512024878379,0.08924957926247695,-0.8114213545079965,-0.40612074604231496,-0.753085020303336
Uzbekistan,UZB,0.05822737090323605,0.22099792586531236,0.22931611446608857,-0.10707048492526167,-0.0807852527728566,-0.9299790925538056,0.8104907772875903,-0.387242564182119,-0.8738765262189984,0.5125988198239855,0.3692675489625785,1.0946163202607524,1.5625785133608192,-1.0537443928831967,1.193529180056079,0.6517637656286172,0.8957120419671921,-0.9456557672419434,-0.16436445823424067,-0.08899149956015054,0.5433719021923341,0.4754284782400189,-0.6027565758712796,-0.5286258987345213,-0.06544133502464641,0.11794484173043986,-0.03502146831309645,0.04921054085594384
Faroe Islands,FRO,-0.08310991639940976,0.22099792586531236,0.22931611446608857,-0.10707048492526167,-0.0807852527728566,1.4767661155748575,0.06321024123098566,0.07949188514992273,-0.057599375675599127,-0.39412090180971354,0.7735004033972496,-0.3174333372318701,0.8347986058381734,-1.413808873125287,-1.8843869673939797,0.7880670841748757,0.42429621029503567,-0.48197895543159086,-1.2779937526972864,-0.08899149956015054,-0.8021285413041185,0.23656460732775056,-0.35428835388787167,-0.28496489403475805,0.45590153340033435,1.8776852884697819,-0.03502146831309645,1.0393971656428618
Japan,JPN,-1.5313737416082576,0.22099792586531236,0.22931611446608857,-0.10707048492526167,-0.0807852527728566,1.2899692185717166,-0.5531385998006376,1.1569263077757128,1.6123223612306288,0.0032736482174275986,-1.437658150418526,-1.0590436965868633,-1.3761169905903656,1.6092185317091376,-1.3351774999264854,0.7253435728338979,0.8933036700808187,-0.9456557672419434,-1.2420426138170348,1.9998839803319475,-1.24611610936541,-0.5712293744177102,2.560388526682683,0.45611082167162337,1.0092392205660687,1.4432739210282033,1.7289815637536723,1.3329999717983696
Moldova,MDA,-1.24869698992101,0.0938680175118024,0.09558725062512473,0.03747971298738718,0.07030146833533185,-0.45811870522769227,1.6264803311809817,-0.26153573494486504,-0.33036273872543304,-1.9007678172754066,0.7239118078875211,-0.785993955360699,0.5455969433998187,-0.89658740339627,1.8780251270229193,0.12045650946355388,0.05411424860192171,-0.8520231999198599,-1.051872774666448,-0.26511753033679447,-2.336766856958829,1.6094340448044522,0.50810539178405,-1.4033646642983673,-0.2897672368698046,0.11734719240204602,1.1286741958738729,0.8469488323210566
Montenegro,MNE,-0.9786988134093032,0.37620248703136533,0.41719771880205786,-0.10707048492526167,-0.0807852527728566,0.24385251354487414,0.629338323103193,0.6069524924803305,0.32920387991803757,-0.907149265528749,-0.3760134011206327,-1.0024294294727398,0.02220337330151988,1.3030837699591402,0.026936454203401967,0.6242992981146176,0.7320982825741785,-0.8705770183704906,-0.7483041401663312,0.1915592837740568,-1.0569329021909442,0.6914575272113667,1.0296995877029573,-0.7089318929649961,1.767694666244717,0.38666748421671887,0.8206821241844806,0.7349564042642663
French Polynesia,PYF,-0.275985015971668,0.22099792586531236,0.22931611446608857,-0.10707048492526167,-0.0807852527728566,-0.01795427249329572,0.06321024123098566,0.07949188514992273,-0.057599375675599127,-0.0011610164429851956,-0.12503438711221157,0.06339455312808563,0.02220337330151988,0.38974123800750377,-1.3183611596149112,0.7880670841748757,0.8048072808038992,-0.6234857966830745,-0.16436445823424067,-0.08899149956015054,-0.7202070061451816,0.7653276284061872,-0.31857919398171175,-0.76901034442874,-0.6282990394463585,-0.05729258485838534,0.08502462553972186,0.5875306107219106
Tanzania,TZA,1.5980916799486504,-2.670915602738617,-2.509621537475909,-0.10707048492526167,-0.0807852527728566,-1.5301062518231694,0.945793445571193,-1.539652013240282,-1.5863025588602864,0.14878303746696359,1.170825174872713,1.136329603881291,1.463788740401507,0.9613565128126512,0.46129577974374725,-1.8154867745637022,-1.6701945585479505,0.9044540431214663,0.18022148451376513,-0.32683751111132414,1.4501642756835118,-1.6906993392345013,-0.9998052424547501,1.7684240762283001,-0.7419356315561886,-0.8631589390007229,-1.069262611137503,-1.9000496137262255
